Posting Year,Job Title,Percentage
2017,director,3.130148270181219
2017,other scientist,3.6243822075782535
2017,machine learning engineer,3.6243822075782535
2017,analyst,4.7775947281713345
2017,data modeler,0.8237232289950577
2017,data analytics,15.650741350906095
2017,data scientist project manager,0.16474464579901155
2017,data scientist,49.75288303130148
2017,data engineer,18.451400329489292
2023,director,1.5910430170889804
2023,other scientist,3.653506187389511
2023,machine learning engineer,4.949911608721273
2023,analyst,15.96935769004125
2023,data modeler,0.8249852681202121
2023,data analytics,32.35120801414261
2023,data scientist project manager,0.11785503830288745
2023,data scientist,8.839127872716558
2023,data engineer,31.703005303476722
